"name","url"
"Förderung und Aufrecherhaltung einer vielfältigen Lehre an der EMAU Greifswald","https://www.openpetition.eu/petition/online/foerderung-und-aufrecherhaltung-einer-vielfaeltigen-lehre-an-der-emau-greifswald"
"Förderung und Aufrecherhaltung einer vielfältigen Lehre an der EMAU Greifswald","https://www.openpetition.eu/petition/online/foerderung-und-aufrecherhaltung-einer-vielfaeltigen-lehre-an-der-emau-greifswald"
"Rettet die Vereinsfeste!","https://www.openpetition.eu/at/petition/online/rettet-die-vereinsfeste"
"Unser Gesundheitssystem braucht mehr!","https://www.openpetition.eu/at/petition/online/unser-gesundheitssystem-braucht-mehr"
"Petition für eine humanitär agierende Schweiz im Rahmen der aktuellen Flüchtlingstragödie","https://www.openpetition.eu/ch/petition/online/petition-fuer-eine-humanitaer-agierende-schweiz-im-rahmen-der-aktuellen-fluechtlingstragoedie"
"Pro Krankenhaus Spittal","https://www.openpetition.eu/at/petition/online/pro-krankenhaus-spittal"
"Errichtung einer Lärmschutzwand entlang der A3 im Gemeindegebiet Großhöflein/Müllendorf!","https://www.openpetition.eu/at/petition/online/errichtung-einer-larmschutzwand-fur-grosshoflein-entlang-der-a3"
"Kein AKW-Neubau in Paks/Ungarn!","https://www.openpetition.eu/at/petition/online/kein-akw-neubau-in-paks-ungarn"
"Gegen eine Verschlechterung der Zugverbindungen auf der Aspangbahn","https://www.openpetition.eu/at/petition/online/gegen-eine-verschlechterung-der-zugverbindungen-auf-der-aspangbahn"
"PETITION für den Erhalt der AKADEMIE GRAZ","https://www.openpetition.eu/at/petition/online/petition-fuer-den-erhalt-der-akademie-graz"
"Bodenschutz fuer Wien","https://www.openpetition.eu/at/petition/online/bodenschutz-fuer-wien"
"Wir retten das Luisen Krankenhaus","https://www.openpetition.eu/petition/online/wir-retten-das-luisen-krankenhaus"
"Keine neuen Atomreaktoren in Temelin und Dukovany!","https://www.openpetition.eu/petition/online/keine-neuen-atomreaktoren-in-temelin-und-dukovany"
"VOR Zone 100 für Leopoldsdorf - JA zur Öffi Card","https://www.openpetition.eu/at/petition/online/vor-zone-100-fuer-leopoldsdorf-ja-zur-oeffi-card"
"The Wall Of Fame - L'UNIQUE Basel","https://www.openpetition.eu/ch/petition/online/the-wall-of-fame-lunique-basel"
"Nicht alles Neue ist gut – Schützt das Einkaufserlebnis in der Klagenfurter Innenstadt!","https://www.openpetition.eu/at/petition/online/nicht-alles-neue-ist-gut-schuetzt-das-einkaufserlebnis-in-der-klagenfurter-innenstadt"
"Aktion zur Rettung des Kulturgutes Uhudler im Südburgenland","https://www.openpetition.eu/at/petition/online/aktion-zur-rettung-des-kulturgutes-uhudler-im-suedburgenland"
"Mehr Sicherheit für unsere Kinder im Schulbus","https://www.openpetition.eu/at/petition/online/mehr-sicherheit-fuer-unsere-kinder-im-schulbus"
"Stopp der Bundesheer-Zerstörung! Für ein sicheres Österreich!","https://www.openpetition.eu/petition/online/stopp-der-bundesheer-zerstoerung-fuer-ein-sicheres-oesterreich"
"Wir fordern den Rücktritt der österreichischen Bundesregierung und sofortige Neuwahlen","https://www.openpetition.eu/at/petition/online/wir-fordern-den-ruecktritt-der-oesterreichischen-bundesregierung-und-sofortige-neuwahlen"
"Nein zum Verkauf des ""Traude Dierdorf"" Stadtheims","https://www.openpetition.eu/at/petition/online/nein-zum-verkauf-des-traude-dierdorf-stadtheims"
"Unabhängige Untersuchungskommission für KESB und KOKES","https://www.openpetition.eu/ch/petition/online/unabhaengige-untersuchungskommission-fuer-kesb-und-kokes"
"Mehr Betreuungsressourcen für den Kindergarten Hornstein","https://www.openpetition.eu/at/petition/online/mehr-betreuungsressourcen-fuer-den-kindergarten-hornstein"
"Heimkinder wollen Gerechtigkeit","https://www.openpetition.eu/at/petition/online/heimkinder-wollen-gerechtigkeit"
"Kein neuer Atom-Reaktor in Bohunice/Slowakei!","https://www.openpetition.eu/petition/online/kein-neuer-atom-reaktor-in-bohunice-slowakei"
"Copa Beach soll bleiben","https://www.openpetition.eu/at/petition/online/copa-beach-soll-bleiben"
"Zurück zu altershomogenen Gruppen im Kindergarten Hornstein","https://www.openpetition.eu/at/petition/online/zurueck-zu-altershomogenen-gruppen-im-kindergarten-hornstein"
"Sommerferien kürzen","https://www.openpetition.eu/at/petition/online/sommerferien-kuerzen"
"Für mehr Staatskunde an Berner Schulen","https://www.openpetition.eu/ch/petition/online/fuer-mehr-staatskunde-an-berner-schulen"
"Fußgänger Ampel in Klagenfurt","https://www.openpetition.eu/at/petition/online/fussgaenger-ampel-in-klagenfurt"
"Keine neuen Atomkraftwerke mehr - weltweit!","https://www.openpetition.eu/petition/online/keine-neuen-atomkraftwerke-mehr-weltweit"
"Abzug sämtlicher amerikanischen Einheiten aus Europa.","https://www.openpetition.eu/ch/petition/online/abzug-saemtlicher-amerikanischen-einheiten-aus-europa"
"Abzug aller US- und UK-Truppen sowie US-Befehlsstellen aus Deutschland!","https://www.openpetition.de/petition/online/abzug-aller-us-und-uk-truppen-sowie-us-befehlsstellen-aus-deutschland"
"Kölner Fernbusbahnhof nicht an den Stadtrand legen - gegen Fernbusverbot in Köln !","https://www.openpetition.de/petition/online/koelner-fernbusbahnhof-nicht-an-den-stadtrand-legen-gegen-fernbusverbot-in-koeln"
"ARD, ZDF ... so GEZ nicht weiter! ZahlungsZWANG STOP! RundfunkREFORM JETZT! (Bayern)","https://www.openpetition.de/petition/online/ard-zdf-so-gez-nicht-weiter-bayern"
"Für den Erhalt des privaten Sammelns // For preserving the right to privately collect","https://www.openpetition.de/petition/online/fuer-den-erhalt-des-privaten-sammelns"
"Öffnet die Grenze - Kobanê muss leben!","https://www.openpetition.de/petition/online/oeffnet-die-grenze-kobane-muss-leben"
"Wiedereinführung der Grenzkontrollen an den EU-Binnengrenzen","https://www.openpetition.de/petition/online/wiedereinfuehrung-der-grenzkontrollen-an-den-deutschen-landesgrenzen"
"Petition: Linie 9 muss bleiben! Statt stilllegen mit der Straßenbahn zum Cospudener See","https://www.openpetition.de/petition/online/mit-der-linie-9-zum-cospudener-see-connewitz-markkleeberg-nicht-vom-strassenbahnnetz-abklemmen"
"München Viehhof, Erhalt und Koexistenz: Gewerbe und Kino-Open-Air-Kultur-Festival müssen bleiben!","https://www.openpetition.de/petition/online/muenchen-viehhof-erhalt-und-koexistenz-gewerbe-und-kino-open-air-kultur-festival-muessen-bleiben"
"Pro Konstanzer Flugplatz","https://www.openpetition.de/petition/online/pro-konstanzer-flugplatz"
"Keine Zwangsexmatrikulationen – für ein kritisches und angeregtes Studium!","https://www.openpetition.de/petition/online/keine-zwangsexmatrikulationen-fur-ein-kritisches-und-angeregtes-studium"
"Rostock: Die Schleuse am Mühlendamm darf nicht zugeschüttet werden!","https://www.openpetition.de/petition/online/rostock-die-schleuse-am-muehlendamm-darf-nicht-zugeschuettet-werden"
"Das Verbot Von Tieren Im Zirkus Ist Lange Überfällig ! Handeln Sie Jetzt !","https://www.openpetition.de/petition/online/das-verbot-von-tieren-im-zirkus-ist-lange-ueberfaellig-handeln-sie-jetzt"
"Gegen das Einschläfern von Rottweiler Pascha aus Duisburg: ""Bitte lasst mich nicht sterben!""","https://www.openpetition.de/petition/online/gegen-das-einschlaefern-von-rottweiler-pascha-aus-duisburg"
"Das Tierheim auf Santorini in akuter Gefahr","https://www.openpetition.de/petition/online/das-tierheim-auf-santorini-in-akuter-gefahr"
"Spesensätze für das Fahrpersonal erhöhen","https://www.openpetition.de/petition/online/spesensaetze-fuer-das-fahrpersonal-erhoehen"
"Gegen Zulassungsbeschränkungen vor dem Referendariat","https://www.openpetition.de/petition/online/gegen-zulassungsbeschraenkungen-vor-dem-referendariat"
