"date","sig_total","sig_quorum","id"
"2015-08-05","696","695",2
"2015-08-06","1318","1315",2
"2015-08-07","1544","1539",2
"2015-08-08","1610","1605",2
"2015-08-09","1716","1711",2
"2015-08-10","1890","1885",2
"2015-08-11","2024","2019",2
"2015-08-12","2116","2111",2
"2015-08-13","2173","2168",2
"2015-08-14","2206","2201",2
"2015-08-15","2222","2217",2
"2015-08-16","2228","2223",2
"2015-08-17","2309","2302",2
"2015-08-18","2398","2391",2
"2015-08-19","2439","2432",2
"2015-08-20","2483","2476",2
"2015-08-21","2517","2510",2
"2015-08-22","2532","2524",2
"2015-08-23","2548","2540",2
"2015-08-24","2568","2560",2
"2015-08-25","2670","2662",2
"2015-08-26","2680","2672",2
"2015-08-27","2700","2692",2
"2015-08-28","2704","2696",2
"2015-08-29","2710","2702",2
"2015-08-30","2715","2707",2
"2015-08-31","2737","2729",2
"2015-09-01","2805","2797",2
"2015-09-02","2838","2830",2
"2015-09-03","2883","2875",2
"2015-09-04","2952","2944",2
"2015-09-05","2973","2965",2
"2015-09-06","2985","2977",2
"2015-09-07","3018","3010",2
"2015-09-08","3039","3031",2
"2015-09-09","3061","3053",2
"2015-09-10","3118","3109",2
"2015-09-11","3142","3133",2
"2015-09-12","3152","3143",2
"2015-09-13","3162","3153",2
"2015-09-14","3176","3167",2
"2015-09-15","3263","3254",2
"2015-09-16","3316","3307",2
"2015-09-17","3328","3319",2
"2015-09-18","3339","3330",2
"2015-09-19","3345","3336",2
"2015-09-20","3356","3347",2
"2015-09-21","3421","3412",2
"2015-09-22","3472","3463",2
"2015-09-23","3514","3505",2
"2015-09-24","3531","3522",2
"2015-09-25","3542","3533",2
"2015-09-26","3554","3545",2
"2015-09-27","3556","3547",2
"2015-09-28","3561","3552",2
"2015-09-29","3563","3554",2
"2015-09-30","3566","3557",2
"2015-10-01","3576","3567",2
"2015-10-02","3578","3569",2
"2015-08-05","696","695",4
"2015-08-06","1318","1315",4
"2015-08-07","1544","1539",4
"2015-08-08","1610","1605",4
"2015-08-09","1716","1711",4
"2015-08-10","1890","1885",4
"2015-08-11","2024","2019",4
"2015-08-12","2116","2111",4
"2015-08-13","2173","2168",4
"2015-08-14","2206","2201",4
"2015-08-15","2222","2217",4
"2015-08-16","2228","2223",4
"2015-08-17","2309","2302",4
"2015-08-18","2398","2391",4
"2015-08-19","2439","2432",4
"2015-08-20","2483","2476",4
"2015-08-21","2517","2510",4
"2015-08-22","2532","2524",4
"2015-08-23","2548","2540",4
"2015-08-24","2568","2560",4
"2015-08-25","2670","2662",4
"2015-08-26","2680","2672",4
"2015-08-27","2700","2692",4
"2015-08-28","2704","2696",4
"2015-08-29","2710","2702",4
"2015-08-30","2715","2707",4
"2015-08-31","2737","2729",4
"2015-09-01","2805","2797",4
"2015-09-02","2838","2830",4
"2015-09-03","2883","2875",4
"2015-09-04","2952","2944",4
"2015-09-05","2973","2965",4
"2015-09-06","2985","2977",4
"2015-09-07","3018","3010",4
"2015-09-08","3039","3031",4
"2015-09-09","3061","3053",4
"2015-09-10","3118","3109",4
"2015-09-11","3142","3133",4
"2015-09-12","3152","3143",4
"2015-09-13","3162","3153",4
"2015-09-14","3176","3167",4
"2015-09-15","3263","3254",4
"2015-09-16","3316","3307",4
"2015-09-17","3328","3319",4
"2015-09-18","3339","3330",4
"2015-09-19","3345","3336",4
"2015-09-20","3356","3347",4
"2015-09-21","3421","3412",4
"2015-09-22","3472","3463",4
"2015-09-23","3514","3505",4
"2015-09-24","3531","3522",4
"2015-09-25","3542","3533",4
"2015-09-26","3554","3545",4
"2015-09-27","3556","3547",4
"2015-09-28","3561","3552",4
"2015-09-29","3563","3554",4
"2015-09-30","3566","3557",4
"2015-10-01","3576","3567",4
"2015-10-02","3578","3569",4
"2015-07-28","2","0",5
"2015-07-29","17","0",5
"2015-07-30","42","0",5
"2015-07-31","69","0",5
"2015-08-01","77","0",5
"2015-08-02","79","0",5
"2015-08-03","88","0",5
"2015-08-04","144","0",5
"2015-08-05","199","0",5
"2015-08-06","217","0",5
"2015-08-07","226","0",5
"2015-08-08","230","0",5
"2015-08-09","231","0",5
"2015-08-10","262","0",5
"2015-08-11","286","0",5
"2015-08-12","330","0",5
"2015-08-13","357","0",5
"2015-08-14","384","0",5
"2015-08-15","392","0",5
